,text,upos,xpos,lemma,feats
0,Pinacoteca,NOUN,S,pinacoteca,Gender=Fem|Number=Sing
1,nazionale,ADJ,A,nazionale,Number=Sing
2,",",PUNCT,FF,",",
3,Sassari,PROPN,SP,Sassari,
4,Il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
5,museo,NOUN,S,museo,Gender=Masc|Number=Sing
6,è,AUX,VA,essere,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
7,stato,AUX,VA,essere,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
8,inaugurato,VERB,V,inaugurare,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
9,in,ADP,E,in,
10,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
11,dicembre,NOUN,S,dicembre,Gender=Masc|Number=Sing
12,2008,NUM,N,2008,NumType=Card
13,a,ADP,E,a,
14,l',DET,RD,il,Definite=Def|Number=Sing|PronType=Art
15,interno,NOUN,S,interno,Gender=Masc|Number=Sing
16,di,ADP,E,di,
17,l’,DET,RD,il,Definite=Def|Number=Sing|PronType=Art
18,ex,ADJ,A,ex,
19,Collegio,NOUN,S,collegio,Gender=Masc|Number=Sing
20,gesuitico,ADJ,A,gesuitico,Gender=Masc|Number=Sing
21,di,ADP,E,di,
22,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
23,Canopoleno,PROPN,SP,Canopoleno,
24,",",PUNCT,FF,",",
25,storico,ADJ,A,storico,Gender=Masc|Number=Sing
26,edificio,NOUN,S,edificio,Gender=Masc|Number=Sing
27,di,ADP,E,di,
28,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
29,centro,NOUN,S,centro,Gender=Masc|Number=Sing
30,di,ADP,E,di,
31,Sassari,PROPN,SP,Sassari,
32,fatto,VERB,V,fare,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
33,costruire,VERB,V,costruire,VerbForm=Inf
34,tra,ADP,E,tra,
35,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
36,fine,NOUN,S,fine,Gender=Fem|Number=Sing
37,di,ADP,E,di,
38,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
39,Cinquecento,NUM,N,cinquecento,NumType=Card
40,e,CCONJ,CC,e,
41,l',DET,RD,il,Definite=Def|Number=Sing|PronType=Art
42,inizio,NOUN,S,inizio,Gender=Masc|Number=Sing
43,di,ADP,E,di,
44,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
45,Seicento,NOUN,S,Seicento,Gender=Masc|Number=Sing
46,da,ADP,E,da,
47,l’,DET,RD,il,Definite=Def|Number=Sing|PronType=Art
48,arcivescovo,NOUN,S,arcivescovo,Gender=Masc|Number=Sing
49,di,ADP,E,di,
50,Oristano,PROPN,SP,Oristano,
51,Antonio,PROPN,SP,Antonio,
52,Canopolo,PROPN,SP,Canopolo,
53,.,PUNCT,FS,.,
54,L’,DET,RD,il,Definite=Def|Number=Sing|PronType=Art
55,edificio,NOUN,S,edificio,Gender=Masc|Number=Sing
56,",",PUNCT,FF,",",
57,passato,VERB,V,passare,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
58,a,ADP,E,a,
59,lo,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
60,Stato,NOUN,S,stato,Gender=Masc|Number=Sing
61,in,ADP,E,in,
62,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
63,prima,ADJ,NO,primo,Gender=Fem|NumType=Ord|Number=Sing
64,metà,NOUN,S,metà,Gender=Fem
65,di,ADP,E,di,
66,l’,DET,RD,il,Definite=Def|Number=Sing|PronType=Art
67,Ottocento,NOUN,S,ottocento,Gender=Masc|Number=Sing
68,",",PUNCT,FF,",",
69,è,AUX,VA,essere,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
70,stato,AUX,VA,essere,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
71,sottoposto,VERB,V,sottoporre,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
72,",",PUNCT,FF,",",
73,in,ADP,E,in,
74,gli,DET,RD,il,Definite=Def|Gender=Masc|Number=Plur|PronType=Art
75,anni,NOUN,S,anno,Gender=Masc|Number=Plur
76,’,NUM,N,’,NumType=Card
77,90,NUM,N,90,NumType=Card
78,di,ADP,E,di,
79,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
80,Novecento,NUM,N,novecento,NumType=Card
81,",",PUNCT,FF,",",
82,ad,ADP,E,a,
83,un,DET,RI,uno,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
84,intervento,NOUN,S,intervento,Gender=Masc|Number=Sing
85,di,ADP,E,di,
86,restauro,NOUN,S,restauro,Gender=Masc|Number=Sing
87,e,CCONJ,CC,e,
88,adeguamento,NOUN,S,adeguamento,Gender=Masc|Number=Sing
89,che,PRON,PR,che,PronType=Rel
90,consente,VERB,V,consentire,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
91,di,ADP,E,di,
92,rendere,VERB,V,rendere,VerbForm=Inf
93,fruibile,ADJ,A,fruibile,Number=Sing
94,",",PUNCT,FF,",",
95,in,ADP,E,in,
96,uno,DET,RI,uno,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
97,spazio,NOUN,S,spazio,Gender=Masc|Number=Sing
98,ampio,ADJ,A,ampio,Gender=Masc|Number=Sing
99,e,CCONJ,CC,e,
100,prestigioso,ADJ,A,prestigioso,Gender=Masc|Number=Sing
101,",",PUNCT,FF,",",
102,un,DET,RI,uno,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
103,ricco,ADJ,A,ricco,Gender=Masc|Number=Sing
104,patrimonio,NOUN,S,patrimonio,Gender=Masc|Number=Sing
105,artistico,ADJ,A,artistico,Gender=Masc|Number=Sing
106,statale,ADJ,A,statale,Number=Sing
107,pervenuto,VERB,V,pervenire,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
108,attraverso,ADP,E,attraverso,
109,donazioni,NOUN,S,donazione,Gender=Fem|Number=Plur
110,e,CCONJ,CC,e,
111,lasciti,NOUN,S,lascito,Gender=Masc|Number=Plur
112,.,PUNCT,FS,.,
113,La,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
114,Pinacoteca,NOUN,S,pinacoteca,Gender=Fem|Number=Sing
115,ospita,VERB,V,ospitare,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
116,le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
117,importanti,ADJ,A,importante,Number=Plur
118,collezioni,NOUN,S,collezione,Gender=Fem|Number=Plur
119,d’,ADP,E,di,
120,arte,NOUN,S,arte,Gender=Fem|Number=Sing
121,Tomè,PROPN,SP,Tomè,
122,e,CCONJ,CC,e,
123,Sanna,PROPN,SP,Sanna,
124,",",PUNCT,FF,",",
